run_id,seed,month,simulated_date,prediction_id,agent,claim,confidence,claim_source,resolution_source,outcome,trust_before,trust_after,calibration_delta,explanation
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,1,2027-01-01,fbbb7688-d551-46a4-9a1a-0ef54208ee57,Growth Marketer,Month 1 CAC will be <= 38.68.,0.62,market_oracle_pre_decision_signal:seed=7319:month=1,market_oracle_monthly_actual:seed=7319:month=1,False,0.496,0.4712,-0.0248,CAC actual 56.6 > 38.68
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,1,2027-01-01,1caa2d88-7340-430e-a9f0-3f52aa008cc3,Product Manager,Month 1 conversion rate will be >= 0.0401.,0.58,market_oracle_pre_decision_signal:seed=7319:month=1,market_oracle_monthly_actual:seed=7319:month=1,True,0.464,0.4408,-0.0232,conversion actual 0.0433 >= 0.0401
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,1,2027-01-01,89562ee7-581c-4783-b370-124be13e915b,Finance Controller,Month 1 gross revenue will be >= 500.00.,0.6,market_oracle_pre_decision_signal:seed=7319:month=1,market_oracle_monthly_actual:seed=7319:month=1,True,0.48,0.456,-0.024,gross revenue actual 1272.0 >= 500.00
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,1,2027-01-01,8db92b44-263a-4411-9c77-71054643b484,Operations Manager,Month 1 stockout risk will be <= 0.1000.,0.64,market_oracle_pre_decision_signal:seed=7319:month=1,market_oracle_monthly_actual:seed=7319:month=1,True,0.512,0.4864,-0.0256,stockout risk actual 0.0608 <= 0.1000
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,1,2027-01-01,a8d1bf15-5dd7-42c3-9699-591f320ebe46,Founder CEO,Month 1 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=1,market_oracle_monthly_actual:seed=7319:month=1,True,0.448,0.4256,-0.0224,health score actual 0.5452 >= -0.0200
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,2,2027-02-01,fdace90f-8266-4820-bb0d-9385d3287b5b,Growth Marketer,Month 2 CAC will be <= 36.38.,0.62,market_oracle_pre_decision_signal:seed=7319:month=2,market_oracle_monthly_actual:seed=7319:month=2,False,0.4712,0.4464,-0.0248,CAC actual 42.25 > 36.38
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,2,2027-02-01,a7385460-11da-4247-9e83-acf506004533,Product Manager,Month 2 conversion rate will be >= 0.0420.,0.58,market_oracle_pre_decision_signal:seed=7319:month=2,market_oracle_monthly_actual:seed=7319:month=2,True,0.4408,0.4176,-0.0232,conversion actual 0.0544 >= 0.0420
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,2,2027-02-01,11798647-e3d5-438b-adf2-3593d9e1a640,Finance Controller,Month 2 gross revenue will be >= 699.60.,0.6,market_oracle_pre_decision_signal:seed=7319:month=2,market_oracle_monthly_actual:seed=7319:month=2,True,0.456,0.432,-0.024,gross revenue actual 1800.0 >= 699.60
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,2,2027-02-01,d7735c58-c30c-43ed-9083-6cbc2d6f94b4,Operations Manager,Month 2 stockout risk will be <= 0.1000.,0.64,market_oracle_pre_decision_signal:seed=7319:month=2,market_oracle_monthly_actual:seed=7319:month=2,False,0.4864,0.4608,-0.0256,stockout risk actual 0.455 > 0.1000
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,2,2027-02-01,dcd35350-6f50-469c-9e6a-34def0567b9b,Founder CEO,Month 2 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=2,market_oracle_monthly_actual:seed=7319:month=2,False,0.4256,0.4032,-0.0224,health score actual 0.4542 < 0.5252
