month,seed,starting_customers,new_customers,churned_customers,ending_customers,ad_spend,actual_cac,price,gross_revenue,cogs,fixed_cost,total_cost,operating_profit,cash_balance,ltv_estimate,churn_rate,market_difficulty,profitability_margin,arm,gm_trust,fc_trust,pm_trust,om_trust,ceo_trust
1,1234,0,24,0,24,3000.0,124.71,79.0,1896.0,528.0,5000.0,8528.0,-6632.0,43368.0,863.64,0.066,2.71,-1.9156,Arm A: Control,0.5,0.5,0.5,0.5,0.5
2,1234,24,23,1,46,3000.0,129.63,79.0,3634.0,1012.0,5000.0,9012.0,-5378.0,37990.0,863.64,0.066,2.71,-0.6544,Arm A: Control,0.5,0.5,0.5,0.5,0.5
3,1234,46,26,3,69,3000.0,114.07,79.0,5451.0,1518.0,8000.0,12518.0,-7067.0,30923.0,863.64,0.066,2.71,-0.7461,Arm A: Control,0.5,0.5,0.5,0.5,0.5
4,1234,69,25,4,90,3000.0,116.37,79.0,7110.0,1980.0,8000.0,12980.0,-5870.0,25053.0,863.64,0.066,2.71,-0.4037,Arm A: Control,0.5,0.5,0.5,0.5,0.5
5,1234,90,24,5,109,3000.0,122.48,79.0,8611.0,2398.0,8000.0,13398.0,-4787.0,20266.0,863.64,0.066,2.71,-0.2075,Arm A: Control,0.5,0.5,0.5,0.5,0.5
6,1234,109,23,7,125,3000.0,126.63,79.0,9875.0,2750.0,8000.0,13750.0,-3875.0,16391.0,863.64,0.066,2.71,-0.0886,Arm A: Control,0.5,0.5,0.5,0.5,0.5
7,1234,125,39,8,156,5000.0,127.69,79.0,12324.0,3432.0,12000.0,20432.0,-8108.0,8283.0,863.64,0.066,2.71,-0.2522,Arm A: Control,0.5,0.5,0.5,0.5,0.5
8,1234,156,37,10,183,5000.0,132.49,79.0,14457.0,4026.0,12000.0,21026.0,-6569.0,1714.0,863.64,0.066,2.71,-0.1085,Arm A: Control,0.5,0.5,0.5,0.5,0.5
9,1234,183,39,12,210,5000.0,127.23,79.0,16590.0,4620.0,12000.0,21620.0,-5030.0,-3316.0,863.64,0.066,2.71,-0.0018,Arm A: Control,0.5,0.5,0.5,0.5,0.5
10,1234,210,28,13,225,5000.0,175.0,79.0,17775.0,4950.0,12000.0,21950.0,-4175.0,-4175.0,863.64,0.066,2.71,0.0464,Arm A: Control,0.5,0.5,0.5,0.5,0.5
11,1234,225,27,14,238,5000.0,184.65,79.0,18802.0,5236.0,12000.0,22236.0,-3434.0,-7609.0,863.64,0.066,2.71,0.0833,Arm A: Control,0.5,0.5,0.5,0.5,0.5
12,1234,238,26,15,249,5000.0,186.53,79.0,19671.0,5478.0,12000.0,22478.0,-2807.0,-10416.0,863.64,0.066,2.71,0.1115,Arm A: Control,0.5,0.5,0.5,0.5,0.5
13,1234,249,26,16,259,5000.0,188.52,79.0,20461.0,5698.0,12000.0,22698.0,-2237.0,-12653.0,863.64,0.066,2.71,0.135,Arm A: Control,0.5,0.5,0.5,0.5,0.5
14,1234,259,26,17,268,5000.0,185.84,79.0,21172.0,5896.0,12000.0,22896.0,-1724.0,-14377.0,863.64,0.066,2.71,0.1547,Arm A: Control,0.5,0.5,0.5,0.5,0.5
15,1234,268,25,17,276,5000.0,196.86,79.0,21804.0,6072.0,12000.0,23072.0,-1268.0,-15645.0,863.64,0.066,2.71,0.1712,Arm A: Control,0.5,0.5,0.5,0.5,0.5
16,1234,276,26,18,284,5000.0,192.13,79.0,22436.0,6248.0,12000.0,23248.0,-812.0,-16457.0,863.64,0.066,2.71,0.1867,Arm A: Control,0.5,0.5,0.5,0.5,0.5
17,1234,284,26,18,292,5000.0,186.19,79.0,23068.0,6424.0,12000.0,23424.0,-356.0,-16813.0,863.64,0.066,2.71,0.2013,Arm A: Control,0.5,0.5,0.5,0.5,0.5
18,1234,292,26,19,299,5000.0,189.58,79.0,23621.0,6578.0,12000.0,23578.0,43.0,-16770.0,863.64,0.066,2.71,0.2135,Arm A: Control,0.5,0.5,0.5,0.5,0.5
19,1234,299,29,19,309,6000.0,205.58,79.0,24411.0,6798.0,15000.0,27798.0,-3387.0,-20157.0,863.64,0.066,2.71,0.107,Arm A: Control,0.5,0.5,0.5,0.5,0.5
