date,arm_a_pnl,arm_b_pnl,arm_a_cash,arm_b_cash
2025-12-12,0.102871,0.102871,1000000.102871,1000000.102871
2025-12-15,-59.924285,-116.518357,999940.178586,999883.584514
2025-12-16,0.886519,-4.765657,999941.065105,999878.818857
2025-12-17,60.815564,42.000905,1000001.880669,999920.819762
2025-12-18,-45.883693,-64.145837,999955.996976,999856.673925
2025-12-19,-62.33321,-47.28115,999893.663766,999809.392775
2025-12-22,-10.120328,-26.165945,999883.543438,999783.22683
2025-12-23,-3.769329,-10.788622,999879.774109,999772.438208
2025-12-24,40.270782,24.289598,999920.044891,999796.727806
2025-12-26,-12.842121,-27.428048,999907.20277,999769.299758
2025-12-29,-41.083393,-49.207462,999866.119377,999720.092296
2025-12-30,-112.864242,-121.784022,999753.255135,999598.308274
2025-12-31,12.364882,18.441205,999765.620017,999616.749479
2026-01-01,-62.692809,-62.099783,999702.927208,999554.649696
2026-01-02,2.144902,-10.399844,999705.07211,999544.249852
2026-01-05,-80.071655,-105.931419,999625.000455,999438.318433
2026-01-06,-42.549231,-37.193754,999582.451224,999401.124679
2026-01-07,-70.982244,-78.452269,999511.46898,999322.67241
2026-01-08,43.158733,35.19033,999554.627713,999357.86274
2026-01-09,13.470181,14.101131,999568.097894,999371.963871
2026-01-12,37.211092,48.40682,999605.308986,999420.370691
2026-01-13,76.402898,75.782799,999681.711884,999496.15349
2026-01-14,16.667623,19.64323,999698.379507,999515.79672
2026-01-16,30.908503,36.353686,999729.28801,999552.150406
2026-01-19,75.679399,70.038899,999804.967409,999622.189305
2026-01-20,-11.279168,-15.952467,999793.688241,999606.236838
2026-01-21,-37.205928,-38.627746,999756.482313,999567.609092
2026-01-22,-35.631965,-19.394942,999720.850348,999548.21415
2026-01-23,27.026584,12.077525,999747.876932,999560.291675
2026-01-27,-19.682016,-45.170155,999728.194916,999515.12152
2026-01-28,70.546596,59.823712,999798.741512,999574.945232
2026-01-29,-13.682687,-12.01013,999785.058825,999562.935102
2026-01-30,2.404655,-8.121308,999787.46348,999554.813794
2026-02-02,-145.613934,-190.457998,999641.849546,999364.355796
2026-02-03,142.462592,102.074839,999784.312138,999466.430635
2026-02-04,-24.997922,-32.735238,999759.314216,999433.695397
2026-02-05,-8.33871,0.070846,999750.975506,999433.766243
2026-02-06,-2.286548,0.664854,999748.688958,999434.431097
2026-02-09,-29.739208,-31.204105,999718.94975,999403.226992
2026-02-10,18.734232,30.879808,999737.683982,999434.1068
2026-02-11,-6.218449,27.356172,999731.465533,999461.462972
2026-02-12,-22.988515,-18.739215,999708.477018,999442.723757
2026-02-13,93.679621,88.918477,999802.156639,999531.642234
2026-02-16,-2.610462,-7.997209,999799.546177,999523.645025
2026-02-17,74.910085,86.845962,999874.456262,999610.490987
2026-02-18,-223.721945,-227.20301,999650.734317,999383.287977
2026-02-19,48.053776,61.386301,999698.788093,999444.674278
2026-02-20,24.770556,24.960991,999723.558649,999469.635269
2026-02-23,-42.329988,3.111084,999681.228661,999472.746353
2026-02-24,-48.604914,-58.962692,999632.623747,999413.783661
2026-02-25,26.086773,26.205335,999658.71052,999439.988996
2026-02-26,-60.40753,-61.067489,999598.30299,999378.921507
2026-02-27,-73.330031,-44.558602,999524.972959,999334.362905
2026-03-02,9.102105,32.213435,999534.075064,999366.57634
2026-03-04,6.814673,-26.450775,999540.889737,999340.125565
