date,instrument,next_trading_date,arm_a_position,arm_b_position,arm_p_position,arm_a_pnl,arm_b_pnl,arm_p_pnl,trust_weights,placebo_weights
2025-12-12,NIFTY 50,2025-12-15,-1317.162273,-1317.162273,-2675.286029,0.993597,0.993597,2.018094,"{'TechnicalAgent': 0.5, 'RegimeAgent': 0.5, 'MeanReversionAgent': 0.5}","{'TechnicalAgent': 0.37454, 'RegimeAgent': 0.950714, 'MeanReversionAgent': 0.731994}"
2025-12-12,BANK NIFTY,2025-12-15,-1439.582945,-1439.582945,1430.1151,-1.741646,-1.741646,1.730192,"{'TechnicalAgent': 0.5, 'RegimeAgent': 0.5, 'MeanReversionAgent': 0.5}","{'TechnicalAgent': 0.598658, 'RegimeAgent': 0.156019, 'MeanReversionAgent': 0.155995}"
2025-12-12,RELIANCE,2025-12-15,1423.132372,1423.132372,899.970541,-0.274374,-0.274374,-0.173511,"{'TechnicalAgent': 0.5, 'RegimeAgent': 0.5, 'MeanReversionAgent': 0.5}","{'TechnicalAgent': 0.058084, 'RegimeAgent': 0.866176, 'MeanReversionAgent': 0.601115}"
2025-12-12,HDFCBANK,2025-12-15,1763.190225,1763.190225,-262.628281,-9.507065,-9.507065,1.416083,"{'TechnicalAgent': 0.5, 'RegimeAgent': 0.5, 'MeanReversionAgent': 0.5}","{'TechnicalAgent': 0.708073, 'RegimeAgent': 0.020584, 'MeanReversionAgent': 0.96991}"
2025-12-12,TCS,2025-12-15,1466.629436,1466.629436,3135.663195,4.417329,4.417329,9.444278,"{'TechnicalAgent': 0.5, 'RegimeAgent': 0.5, 'MeanReversionAgent': 0.5}","{'TechnicalAgent': 0.832443, 'RegimeAgent': 0.212339, 'MeanReversionAgent': 0.181825}"
2025-12-12,INFY,2025-12-15,1288.066385,1288.066385,-513.575057,6.931258,6.931258,-2.763616,"{'TechnicalAgent': 0.5, 'RegimeAgent': 0.5, 'MeanReversionAgent': 0.5}","{'TechnicalAgent': 0.183405, 'RegimeAgent': 0.304242, 'MeanReversionAgent': 0.524756}"
2025-12-12,ICICIBANK,2025-12-15,1222.885459,1222.885459,2194.808071,-0.716228,-0.716228,-1.285471,"{'TechnicalAgent': 0.5, 'RegimeAgent': 0.5, 'MeanReversionAgent': 0.5}","{'TechnicalAgent': 0.431945, 'RegimeAgent': 0.291229, 'MeanReversionAgent': 0.611853}"
2025-12-15,NIFTY 50,2025-12-16,1733.87872,3002.775112,687.089527,-11.138556,-19.290034,-4.41391,"{'TechnicalAgent': 0.566071, 'RegimeAgent': 0.563571, 'MeanReversionAgent': 0.253554}","{'TechnicalAgent': 0.139494, 'RegimeAgent': 0.292145, 'MeanReversionAgent': 0.366362}"
2025-12-15,BANK NIFTY,2025-12-16,1642.041099,2952.270806,3363.578452,-11.797131,-21.210387,-24.165398,"{'TechnicalAgent': 0.566071, 'RegimeAgent': 0.563571, 'MeanReversionAgent': 0.253554}","{'TechnicalAgent': 0.45607, 'RegimeAgent': 0.785176, 'MeanReversionAgent': 0.199674}"
2025-12-15,RELIANCE,2025-12-16,1375.108607,2805.476495,4175.510046,-12.282409,-25.058392,-37.295471,"{'TechnicalAgent': 0.566071, 'RegimeAgent': 0.563571, 'MeanReversionAgent': 0.253554}","{'TechnicalAgent': 0.514234, 'RegimeAgent': 0.592415, 'MeanReversionAgent': 0.04645}"
