Date,Close,Volume,Instrument,Ticker
,^NSEBANK,^NSEBANK,,
2024-06-03,50979.94921875,453200,BANK NIFTY,^NSEBANK
2024-06-04,46928.6015625,653100,BANK NIFTY,^NSEBANK
2024-06-05,49054.6015625,546800,BANK NIFTY,^NSEBANK
2024-06-06,49291.8984375,250400,BANK NIFTY,^NSEBANK
2024-06-07,49803.19921875,170300,BANK NIFTY,^NSEBANK
2024-06-10,49780.8984375,195800,BANK NIFTY,^NSEBANK
2024-06-11,49705.75,128500,BANK NIFTY,^NSEBANK
2024-06-12,49895.1015625,211700,BANK NIFTY,^NSEBANK
2024-06-13,49846.69921875,125700,BANK NIFTY,^NSEBANK
2024-06-14,50002.0,155000,BANK NIFTY,^NSEBANK
2024-06-18,50440.8984375,189200,BANK NIFTY,^NSEBANK
2024-06-19,51398.05078125,435300,BANK NIFTY,^NSEBANK
2024-06-20,51783.25,235900,BANK NIFTY,^NSEBANK
2024-06-21,51661.44921875,289400,BANK NIFTY,^NSEBANK
2024-06-24,51703.94921875,176600,BANK NIFTY,^NSEBANK
2024-06-25,52606.0,204000,BANK NIFTY,^NSEBANK
2024-06-26,52870.5,214300,BANK NIFTY,^NSEBANK
2024-06-27,52811.30078125,332900,BANK NIFTY,^NSEBANK
2024-06-28,52342.25,244600,BANK NIFTY,^NSEBANK
2024-07-01,52574.75,0,BANK NIFTY,^NSEBANK
2024-07-02,52168.1015625,0,BANK NIFTY,^NSEBANK
2024-07-03,53089.25,0,BANK NIFTY,^NSEBANK
2024-07-04,53103.69921875,163700,BANK NIFTY,^NSEBANK
2024-07-05,52660.3515625,199600,BANK NIFTY,^NSEBANK
2024-07-08,52425.80078125,158000,BANK NIFTY,^NSEBANK
2024-07-09,52568.80078125,145100,BANK NIFTY,^NSEBANK
2024-07-10,52189.30078125,228000,BANK NIFTY,^NSEBANK
2024-07-11,52270.6484375,138300,BANK NIFTY,^NSEBANK
2024-07-12,52278.8984375,171000,BANK NIFTY,^NSEBANK
2024-07-15,52455.8984375,186100,BANK NIFTY,^NSEBANK
2024-07-16,52396.80078125,158800,BANK NIFTY,^NSEBANK
2024-07-18,52620.69921875,139400,BANK NIFTY,^NSEBANK
2024-07-19,52265.6015625,134100,BANK NIFTY,^NSEBANK
2024-07-22,52280.3984375,175300,BANK NIFTY,^NSEBANK
2024-07-23,51778.30078125,207800,BANK NIFTY,^NSEBANK
2024-07-24,51317.0,292200,BANK NIFTY,^NSEBANK
2024-07-25,50888.75,188400,BANK NIFTY,^NSEBANK
2024-07-26,51295.94921875,215700,BANK NIFTY,^NSEBANK
2024-07-29,51406.25,513700,BANK NIFTY,^NSEBANK
2024-07-30,51499.30078125,235200,BANK NIFTY,^NSEBANK
2024-07-31,51553.3984375,219000,BANK NIFTY,^NSEBANK
2024-08-01,51564.0,156400,BANK NIFTY,^NSEBANK
2024-08-02,51350.1484375,163000,BANK NIFTY,^NSEBANK
2024-08-05,50092.1015625,257800,BANK NIFTY,^NSEBANK
2024-08-06,49748.30078125,162800,BANK NIFTY,^NSEBANK
2024-08-07,50119.0,171000,BANK NIFTY,^NSEBANK
2024-08-08,50156.69921875,124800,BANK NIFTY,^NSEBANK
2024-08-09,50484.5,120200,BANK NIFTY,^NSEBANK
2024-08-12,50577.94921875,163500,BANK NIFTY,^NSEBANK
2024-08-13,49831.8515625,148900,BANK NIFTY,^NSEBANK
2024-08-14,49727.30078125,137100,BANK NIFTY,^NSEBANK
2024-08-16,50516.8984375,130700,BANK NIFTY,^NSEBANK
2024-08-19,50368.3515625,115300,BANK NIFTY,^NSEBANK
2024-08-20,50803.1484375,144200,BANK NIFTY,^NSEBANK
2024-08-21,50685.55078125,180800,BANK NIFTY,^NSEBANK
2024-08-22,50985.69921875,133100,BANK NIFTY,^NSEBANK
2024-08-23,50933.44921875,88500,BANK NIFTY,^NSEBANK
2024-08-26,51148.1015625,100300,BANK NIFTY,^NSEBANK
2024-08-27,51278.75,111400,BANK NIFTY,^NSEBANK
2024-08-28,51143.8515625,128100,BANK NIFTY,^NSEBANK
2024-08-29,51152.75,143600,BANK NIFTY,^NSEBANK
2024-08-30,51351.0,478600,BANK NIFTY,^NSEBANK
2024-09-02,51439.55078125,150200,BANK NIFTY,^NSEBANK
2024-09-03,51689.1015625,127200,BANK NIFTY,^NSEBANK
2024-09-04,51400.25,159700,BANK NIFTY,^NSEBANK
2024-09-05,51473.05078125,129600,BANK NIFTY,^NSEBANK
2024-09-06,50576.8515625,186000,BANK NIFTY,^NSEBANK
2024-09-09,51117.80078125,172400,BANK NIFTY,^NSEBANK
2024-09-10,51272.30078125,119300,BANK NIFTY,^NSEBANK
2024-09-11,51010.0,145100,BANK NIFTY,^NSEBANK
2024-09-12,51772.3984375,127900,BANK NIFTY,^NSEBANK
2024-09-13,51938.05078125,152000,BANK NIFTY,^NSEBANK
2024-09-16,52153.1484375,93800,BANK NIFTY,^NSEBANK
2024-09-17,52188.6484375,111400,BANK NIFTY,^NSEBANK
2024-09-18,52750.3984375,205100,BANK NIFTY,^NSEBANK
2024-09-19,53037.6015625,164900,BANK NIFTY,^NSEBANK
2024-09-20,53793.19921875,271900,BANK NIFTY,^NSEBANK
2024-09-23,54105.80078125,163700,BANK NIFTY,^NSEBANK
2024-09-24,53968.6015625,192600,BANK NIFTY,^NSEBANK
2024-09-25,54101.6484375,184600,BANK NIFTY,^NSEBANK
2024-09-26,54375.3515625,170500,BANK NIFTY,^NSEBANK
2024-09-27,53834.30078125,217400,BANK NIFTY,^NSEBANK
2024-09-30,52978.1015625,179300,BANK NIFTY,^NSEBANK
2024-10-01,52922.6015625,240200,BANK NIFTY,^NSEBANK
2024-10-03,51845.19921875,272300,BANK NIFTY,^NSEBANK
2024-10-04,51462.05078125,255800,BANK NIFTY,^NSEBANK
2024-10-07,50478.8984375,328700,BANK NIFTY,^NSEBANK
2024-10-08,51021.0,153200,BANK NIFTY,^NSEBANK
2024-10-09,51007.0,310000,BANK NIFTY,^NSEBANK
2024-10-10,51530.8984375,123700,BANK NIFTY,^NSEBANK
2024-10-11,51172.30078125,109400,BANK NIFTY,^NSEBANK
2024-10-14,51816.8984375,126600,BANK NIFTY,^NSEBANK
2024-10-15,51906.0,101400,BANK NIFTY,^NSEBANK
2024-10-16,51801.05078125,94400,BANK NIFTY,^NSEBANK
2024-10-17,51288.80078125,107800,BANK NIFTY,^NSEBANK
2024-10-18,52094.19921875,139100,BANK NIFTY,^NSEBANK
2024-10-21,51962.69921875,145700,BANK NIFTY,^NSEBANK
2024-10-22,51257.1484375,203900,BANK NIFTY,^NSEBANK
2024-10-23,51239.0,208100,BANK NIFTY,^NSEBANK
2024-10-24,51531.1484375,171800,BANK NIFTY,^NSEBANK
2024-10-25,50787.44921875,271700,BANK NIFTY,^NSEBANK
2024-10-28,51259.30078125,447600,BANK NIFTY,^NSEBANK
2024-10-29,52320.69921875,374600,BANK NIFTY,^NSEBANK
2024-10-30,51807.5,247700,BANK NIFTY,^NSEBANK
2024-10-31,51475.3515625,319900,BANK NIFTY,^NSEBANK
2024-11-01,51673.8984375,51400,BANK NIFTY,^NSEBANK
2024-11-04,51215.25,320500,BANK NIFTY,^NSEBANK
2024-11-05,52207.25,245000,BANK NIFTY,^NSEBANK
2024-11-06,52317.3984375,219100,BANK NIFTY,^NSEBANK
2024-11-07,51916.5,160500,BANK NIFTY,^NSEBANK
2024-11-08,51561.19921875,157200,BANK NIFTY,^NSEBANK
2024-11-11,51876.75,160700,BANK NIFTY,^NSEBANK
2024-11-12,51157.80078125,131400,BANK NIFTY,^NSEBANK
2024-11-13,50088.3515625,207100,BANK NIFTY,^NSEBANK
2024-11-14,50179.55078125,133900,BANK NIFTY,^NSEBANK
2024-11-18,50363.80078125,161500,BANK NIFTY,^NSEBANK
2024-11-19,50626.5,185800,BANK NIFTY,^NSEBANK
2024-11-21,50372.8984375,254600,BANK NIFTY,^NSEBANK
2024-11-22,51135.3984375,183400,BANK NIFTY,^NSEBANK
2024-11-25,52207.5,458500,BANK NIFTY,^NSEBANK
2024-11-26,52191.5,113100,BANK NIFTY,^NSEBANK
2024-11-27,52301.80078125,151600,BANK NIFTY,^NSEBANK
2024-11-28,51906.8515625,172000,BANK NIFTY,^NSEBANK
2024-11-29,52055.6015625,139600,BANK NIFTY,^NSEBANK
2024-12-02,52109.0,102500,BANK NIFTY,^NSEBANK
2024-12-03,52695.75,173600,BANK NIFTY,^NSEBANK
2024-12-04,53266.8984375,228600,BANK NIFTY,^NSEBANK
2024-12-05,53603.55078125,155600,BANK NIFTY,^NSEBANK
2024-12-06,53509.5,209400,BANK NIFTY,^NSEBANK
2024-12-09,53407.75,121800,BANK NIFTY,^NSEBANK
2024-12-10,53577.69921875,121800,BANK NIFTY,^NSEBANK
2024-12-11,53391.3515625,101600,BANK NIFTY,^NSEBANK
2024-12-12,53216.44921875,99500,BANK NIFTY,^NSEBANK
2024-12-13,53583.80078125,139900,BANK NIFTY,^NSEBANK
2024-12-16,53581.3515625,85800,BANK NIFTY,^NSEBANK
2024-12-17,52834.80078125,116200,BANK NIFTY,^NSEBANK
2024-12-18,52139.55078125,149500,BANK NIFTY,^NSEBANK
2024-12-19,51575.69921875,145900,BANK NIFTY,^NSEBANK
2024-12-20,50759.19921875,228200,BANK NIFTY,^NSEBANK
2024-12-23,51317.6015625,110800,BANK NIFTY,^NSEBANK
2024-12-24,51233.0,112000,BANK NIFTY,^NSEBANK
2024-12-26,51170.69921875,91300,BANK NIFTY,^NSEBANK
2024-12-27,51311.30078125,78200,BANK NIFTY,^NSEBANK
2024-12-30,50952.75,316300,BANK NIFTY,^NSEBANK
2024-12-31,50860.19921875,105300,BANK NIFTY,^NSEBANK
2025-01-01,51060.6015625,81100,BANK NIFTY,^NSEBANK
2025-01-02,51605.55078125,134400,BANK NIFTY,^NSEBANK
2025-01-03,50988.80078125,148200,BANK NIFTY,^NSEBANK
2025-01-06,49922.0,184600,BANK NIFTY,^NSEBANK
2025-01-07,50202.1484375,103800,BANK NIFTY,^NSEBANK
2025-01-08,49835.05078125,131200,BANK NIFTY,^NSEBANK
2025-01-09,49503.5,136400,BANK NIFTY,^NSEBANK
2025-01-10,48734.1484375,142400,BANK NIFTY,^NSEBANK
2025-01-13,48041.25,168800,BANK NIFTY,^NSEBANK
2025-01-14,48729.1484375,151900,BANK NIFTY,^NSEBANK
2025-01-15,48751.69921875,145100,BANK NIFTY,^NSEBANK
2025-01-16,49278.69921875,146700,BANK NIFTY,^NSEBANK
2025-01-17,48540.6015625,130600,BANK NIFTY,^NSEBANK
2025-01-20,49350.80078125,173100,BANK NIFTY,^NSEBANK
2025-01-21,48570.8984375,134700,BANK NIFTY,^NSEBANK
2025-01-22,48724.3984375,151700,BANK NIFTY,^NSEBANK
2025-01-23,48589.0,124600,BANK NIFTY,^NSEBANK
2025-01-24,48367.80078125,139900,BANK NIFTY,^NSEBANK
2025-01-27,48064.6484375,271800,BANK NIFTY,^NSEBANK
2025-01-28,48866.8515625,299900,BANK NIFTY,^NSEBANK
2025-01-29,49165.94921875,177200,BANK NIFTY,^NSEBANK
2025-01-30,49311.94921875,197900,BANK NIFTY,^NSEBANK
2025-01-31,49587.19921875,232000,BANK NIFTY,^NSEBANK
2025-02-03,49210.55078125,122900,BANK NIFTY,^NSEBANK
2025-02-04,50157.94921875,155700,BANK NIFTY,^NSEBANK
2025-02-05,50343.05078125,149000,BANK NIFTY,^NSEBANK
2025-02-06,50382.1015625,158400,BANK NIFTY,^NSEBANK
2025-02-07,50158.8515625,178700,BANK NIFTY,^NSEBANK
2025-02-10,49981.0,98400,BANK NIFTY,^NSEBANK
2025-02-11,49403.3984375,127000,BANK NIFTY,^NSEBANK
2025-02-12,49479.44921875,136500,BANK NIFTY,^NSEBANK
2025-02-13,49359.8515625,118600,BANK NIFTY,^NSEBANK
2025-02-14,49099.44921875,130600,BANK NIFTY,^NSEBANK
2025-02-17,49258.8984375,114800,BANK NIFTY,^NSEBANK
2025-02-18,49087.30078125,107800,BANK NIFTY,^NSEBANK
2025-02-19,49570.1015625,113300,BANK NIFTY,^NSEBANK
2025-02-20,49334.55078125,112000,BANK NIFTY,^NSEBANK
2025-02-21,48981.19921875,95300,BANK NIFTY,^NSEBANK
2025-02-24,48651.94921875,95700,BANK NIFTY,^NSEBANK
2025-02-25,48608.3515625,106700,BANK NIFTY,^NSEBANK
2025-02-27,48743.80078125,186700,BANK NIFTY,^NSEBANK
2025-02-28,48344.69921875,287700,BANK NIFTY,^NSEBANK
2025-03-03,48114.30078125,151000,BANK NIFTY,^NSEBANK
2025-03-04,48245.19921875,139300,BANK NIFTY,^NSEBANK
2025-03-05,48489.94921875,127800,BANK NIFTY,^NSEBANK
2025-03-06,48627.69921875,137400,BANK NIFTY,^NSEBANK
2025-03-07,48497.5,106000,BANK NIFTY,^NSEBANK
2025-03-10,48216.80078125,123800,BANK NIFTY,^NSEBANK
2025-03-11,47853.94921875,222400,BANK NIFTY,^NSEBANK
2025-03-12,48056.6484375,243300,BANK NIFTY,^NSEBANK
2025-03-13,48060.3984375,145900,BANK NIFTY,^NSEBANK
2025-03-17,48354.1484375,131300,BANK NIFTY,^NSEBANK
2025-03-18,49314.5,146600,BANK NIFTY,^NSEBANK
2025-03-19,49702.6015625,137600,BANK NIFTY,^NSEBANK
2025-03-20,50062.8515625,115700,BANK NIFTY,^NSEBANK
2025-03-21,50593.55078125,225500,BANK NIFTY,^NSEBANK
