Date,Close,Volume,Instrument,Ticker
,HDFCBANK.NS,HDFCBANK.NS,,
2024-06-03,762.9965209960938,72637256,HDFCBANK,HDFCBANK.NS
2024-06-04,719.780029296875,89531240,HDFCBANK,HDFCBANK.NS
2024-06-05,753.0962524414062,81631650,HDFCBANK,HDFCBANK.NS
2024-06-06,756.9301147460938,46422870,HDFCBANK,HDFCBANK.NS
2024-06-07,763.5545654296875,36712216,HDFCBANK,HDFCBANK.NS
2024-06-10,757.7066650390625,22454058,HDFCBANK,HDFCBANK.NS
2024-06-11,759.4052734375,29545326,HDFCBANK,HDFCBANK.NS
2024-06-12,763.9428100585938,39280436,HDFCBANK,HDFCBANK.NS
2024-06-13,767.1458740234375,24120192,HDFCBANK,HDFCBANK.NS
2024-06-14,774.9834594726562,25540554,HDFCBANK,HDFCBANK.NS
2024-06-18,780.2733764648438,32415714,HDFCBANK,HDFCBANK.NS
2024-06-19,804.5628662109375,90131196,HDFCBANK,HDFCBANK.NS
2024-06-20,810.143798828125,41408742,HDFCBANK,HDFCBANK.NS
2024-06-21,808.396728515625,51630776,HDFCBANK,HDFCBANK.NS
2024-06-24,811.6240234375,28544994,HDFCBANK,HDFCBANK.NS
2024-06-25,830.5266723632812,74521548,HDFCBANK,HDFCBANK.NS
2024-06-26,825.7463989257812,47596666,HDFCBANK,HDFCBANK.NS
2024-06-27,823.1500244140625,55074650,HDFCBANK,HDFCBANK.NS
2024-06-28,817.156494140625,26476046,HDFCBANK,HDFCBANK.NS
2024-07-01,827.5420532226562,21187024,HDFCBANK,HDFCBANK.NS
2024-07-02,839.8687744140625,45921690,HDFCBANK,HDFCBANK.NS
2024-07-03,858.334716796875,123217802,HDFCBANK,HDFCBANK.NS
2024-07-04,838.1945190429688,45848658,HDFCBANK,HDFCBANK.NS
2024-07-05,799.8311157226562,82242548,HDFCBANK,HDFCBANK.NS
2024-07-08,793.6434936523438,39087800,HDFCBANK,HDFCBANK.NS
2024-07-09,794.2015380859375,48550878,HDFCBANK,HDFCBANK.NS
