Date,Close,Volume,Instrument,Ticker
,INFY.NS,INFY.NS,,
2024-06-03,1321.519775390625,10589244,INFY,INFY.NS
2024-06-04,1310.0050048828125,13736134,INFY,INFY.NS
2024-06-05,1344.2672119140625,9233424,INFY,INFY.NS
2024-06-06,1383.8875732421875,12660930,INFY,INFY.NS
2024-06-07,1441.5552978515625,24075302,INFY,INFY.NS
2024-06-10,1409.737060546875,6810606,INFY,INFY.NS
2024-06-11,1405.97705078125,4853054,INFY,INFY.NS
2024-06-12,1396.0601806640625,9564320,INFY,INFY.NS
2024-06-13,1404.28515625,7307565,INFY,INFY.NS
2024-06-14,1399.5382080078125,4237727,INFY,INFY.NS
2024-06-18,1408.280029296875,5420939,INFY,INFY.NS
2024-06-19,1420.6407470703125,5493456,INFY,INFY.NS
2024-06-20,1424.4476318359375,7927010,INFY,INFY.NS
2024-06-21,1440.7093505859375,17301941,INFY,INFY.NS
2024-06-24,1435.492431640625,5564989,INFY,INFY.NS
2024-06-25,1449.404052734375,4551525,INFY,INFY.NS
2024-06-26,1448.229248046875,4851004,INFY,INFY.NS
2024-06-27,1478.919677734375,14757754,INFY,INFY.NS
2024-06-28,1472.7156982421875,8197544,INFY,INFY.NS
2024-07-01,1495.3223876953125,6801771,INFY,INFY.NS
2024-07-02,1523.7567138671875,10493173,INFY,INFY.NS
2024-07-03,1529.7255859375,7269965,INFY,INFY.NS
2024-07-04,1551.5802001953125,8008311,INFY,INFY.NS
2024-07-05,1548.5721435546875,7065022,INFY,INFY.NS
2024-07-08,1561.9200439453125,5880533,INFY,INFY.NS
2024-07-09,1557.6900634765625,5191182,INFY,INFY.NS
2024-07-10,1549.32421875,9852770,INFY,INFY.NS
2024-07-11,1553.5072021484375,8857679,INFY,INFY.NS
2024-07-12,1609.012939453125,17078316,INFY,INFY.NS
2024-07-15,1604.59521484375,6942230,INFY,INFY.NS
2024-07-16,1622.4547119140625,6886281,INFY,INFY.NS
2024-07-18,1652.5343017578125,11248896,INFY,INFY.NS
2024-07-19,1685.3394775390625,29819116,INFY,INFY.NS
2024-07-22,1702.165283203125,8462126,INFY,INFY.NS
2024-07-23,1726.65185546875,7113056,INFY,INFY.NS
2024-07-24,1723.878662109375,6002845,INFY,INFY.NS
2024-07-25,1715.3248291015625,5815599,INFY,INFY.NS
2024-07-26,1766.1309814453125,11369047,INFY,INFY.NS
2024-07-29,1758.799072265625,4635931,INFY,INFY.NS
2024-07-30,1764.486083984375,2721265,INFY,INFY.NS
2024-07-31,1756.1201171875,5004209,INFY,INFY.NS
2024-08-01,1741.409423828125,7475014,INFY,INFY.NS
2024-08-02,1711.893798828125,7400938,INFY,INFY.NS
2024-08-05,1646.7532958984375,10736703,INFY,INFY.NS
2024-08-06,1646.0013427734375,7690163,INFY,INFY.NS
2024-08-07,1684.11767578125,5094329,INFY,INFY.NS
2024-08-08,1638.5284423828125,6227910,INFY,INFY.NS
2024-08-09,1664.471923828125,4258524,INFY,INFY.NS
2024-08-12,1689.5224609375,4315329,INFY,INFY.NS
2024-08-13,1689.5694580078125,4176918,INFY,INFY.NS
2024-08-14,1713.821044921875,7450718,INFY,INFY.NS
2024-08-16,1747.378173828125,7335657,INFY,INFY.NS
2024-08-19,1752.8773193359375,2585989,INFY,INFY.NS
2024-08-20,1759.8328857421875,3870333,INFY,INFY.NS
2024-08-21,1760.302978515625,1966902,INFY,INFY.NS
2024-08-22,1767.39990234375,4300287,INFY,INFY.NS
2024-08-23,1750.339111328125,5015935,INFY,INFY.NS
2024-08-26,1763.546142578125,3728589,INFY,INFY.NS
2024-08-27,1786.0584716796875,3830679,INFY,INFY.NS
2024-08-28,1822.7177734375,6514531,INFY,INFY.NS
2024-08-29,1817.31298828125,7228284,INFY,INFY.NS
2024-08-30,1827.041748046875,13466759,INFY,INFY.NS
2024-09-02,1846.5933837890625,5573739,INFY,INFY.NS
2024-09-03,1824.7388916015625,4694322,INFY,INFY.NS
2024-09-04,1807.067138671875,4778310,INFY,INFY.NS
2024-09-05,1817.1248779296875,4081810,INFY,INFY.NS
2024-09-06,1787.7034912109375,5848106,INFY,INFY.NS
2024-09-09,1780.935791015625,4772612,INFY,INFY.NS
2024-09-10,1797.5263671875,6909600,INFY,INFY.NS
2024-09-11,1795.50537109375,5312946,INFY,INFY.NS
2024-09-12,1833.3865966796875,8555092,INFY,INFY.NS
2024-09-13,1827.417724609375,3843127,INFY,INFY.NS
2024-09-16,1833.1986083984375,1570181,INFY,INFY.NS
2024-09-17,1835.360595703125,2793127,INFY,INFY.NS
2024-09-18,1778.585693359375,6385468,INFY,INFY.NS
2024-09-19,1780.5126953125,7976570,INFY,INFY.NS
2024-09-20,1791.3695068359375,15242974,INFY,INFY.NS
2024-09-23,1782.6275634765625,3636672,INFY,INFY.NS
2024-09-24,1784.6484375,7277616,INFY,INFY.NS
2024-09-25,1781.546630859375,4268341,INFY,INFY.NS
2024-09-26,1786.1995849609375,8952803,INFY,INFY.NS
2024-09-27,1792.3094482421875,14908931,INFY,INFY.NS
2024-09-30,1763.029052734375,6986955,INFY,INFY.NS
2024-10-01,1790.05322265625,4029072,INFY,INFY.NS
2024-10-03,1779.7606201171875,7503887,INFY,INFY.NS
2024-10-04,1803.0252685546875,10001483,INFY,INFY.NS
2024-10-07,1818.2059326171875,6112575,INFY,INFY.NS
2024-10-08,1831.6007080078125,5637391,INFY,INFY.NS
