Date,Close,Volume,Instrument,Ticker
,^NSEI,^NSEI,,
2024-06-03,23263.900390625,569400,NIFTY 50,^NSEI
2024-06-04,21884.5,1006100,NIFTY 50,^NSEI
2024-06-05,22620.349609375,638500,NIFTY 50,^NSEI
2024-06-06,22821.400390625,480400,NIFTY 50,^NSEI
2024-06-07,23290.150390625,473600,NIFTY 50,^NSEI
2024-06-10,23259.19921875,304400,NIFTY 50,^NSEI
2024-06-11,23264.849609375,305200,NIFTY 50,^NSEI
2024-06-12,23322.94921875,295600,NIFTY 50,^NSEI
2024-06-13,23398.900390625,268300,NIFTY 50,^NSEI
2024-06-14,23465.599609375,223100,NIFTY 50,^NSEI
2024-06-18,23557.900390625,272200,NIFTY 50,^NSEI
2024-06-19,23516.0,328800,NIFTY 50,^NSEI
2024-06-20,23567.0,280300,NIFTY 50,^NSEI
2024-06-21,23501.099609375,609900,NIFTY 50,^NSEI
2024-06-24,23537.849609375,239400,NIFTY 50,^NSEI
2024-06-25,23721.30078125,298100,NIFTY 50,^NSEI
2024-06-26,23868.80078125,287800,NIFTY 50,^NSEI
2024-06-27,24044.5,515200,NIFTY 50,^NSEI
2024-06-28,24010.599609375,354800,NIFTY 50,^NSEI
2024-07-01,24141.94921875,0,NIFTY 50,^NSEI
2024-07-02,24123.849609375,0,NIFTY 50,^NSEI
2024-07-03,24286.5,0,NIFTY 50,^NSEI
2024-07-04,24302.150390625,251200,NIFTY 50,^NSEI
2024-07-05,24323.849609375,298400,NIFTY 50,^NSEI
2024-07-08,24320.55078125,266300,NIFTY 50,^NSEI
2024-07-09,24433.19921875,250500,NIFTY 50,^NSEI
2024-07-10,24324.44921875,292300,NIFTY 50,^NSEI
2024-07-11,24315.94921875,306400,NIFTY 50,^NSEI
2024-07-12,24502.150390625,325800,NIFTY 50,^NSEI
2024-07-15,24586.69921875,305400,NIFTY 50,^NSEI
2024-07-16,24613.0,283200,NIFTY 50,^NSEI
2024-07-18,24800.849609375,350900,NIFTY 50,^NSEI
2024-07-19,24530.900390625,343800,NIFTY 50,^NSEI
2024-07-22,24509.25,324200,NIFTY 50,^NSEI
2024-07-23,24479.05078125,436400,NIFTY 50,^NSEI
2024-07-24,24413.5,366600,NIFTY 50,^NSEI
2024-07-25,24406.099609375,391800,NIFTY 50,^NSEI
2024-07-26,24834.849609375,383800,NIFTY 50,^NSEI
2024-07-29,24836.099609375,355000,NIFTY 50,^NSEI
2024-07-30,24857.30078125,385000,NIFTY 50,^NSEI
2024-07-31,24951.150390625,333600,NIFTY 50,^NSEI
2024-08-01,25010.900390625,431300,NIFTY 50,^NSEI
2024-08-02,24717.69921875,345000,NIFTY 50,^NSEI
2024-08-05,24055.599609375,487000,NIFTY 50,^NSEI
2024-08-06,23992.55078125,312300,NIFTY 50,^NSEI
2024-08-07,24297.5,317600,NIFTY 50,^NSEI
2024-08-08,24117.0,311900,NIFTY 50,^NSEI
2024-08-09,24367.5,215100,NIFTY 50,^NSEI
2024-08-12,24347.0,279900,NIFTY 50,^NSEI
2024-08-13,24139.0,239700,NIFTY 50,^NSEI
2024-08-14,24143.75,303300,NIFTY 50,^NSEI
2024-08-16,24541.150390625,271600,NIFTY 50,^NSEI
2024-08-19,24572.650390625,243600,NIFTY 50,^NSEI
2024-08-20,24698.849609375,238300,NIFTY 50,^NSEI
2024-08-21,24770.19921875,257100,NIFTY 50,^NSEI
2024-08-22,24811.5,220300,NIFTY 50,^NSEI
2024-08-23,24823.150390625,206800,NIFTY 50,^NSEI
2024-08-26,25010.599609375,210300,NIFTY 50,^NSEI
2024-08-27,25017.75,223300,NIFTY 50,^NSEI
2024-08-28,25052.349609375,220400,NIFTY 50,^NSEI
2024-08-29,25151.94921875,354000,NIFTY 50,^NSEI
2024-08-30,25235.900390625,638200,NIFTY 50,^NSEI
2024-09-02,25278.69921875,222800,NIFTY 50,^NSEI
2024-09-03,25279.849609375,212100,NIFTY 50,^NSEI
2024-09-04,25198.69921875,253800,NIFTY 50,^NSEI
2024-09-05,25145.099609375,222200,NIFTY 50,^NSEI
2024-09-06,24852.150390625,311700,NIFTY 50,^NSEI
2024-09-09,24936.400390625,254400,NIFTY 50,^NSEI
2024-09-10,25041.099609375,251300,NIFTY 50,^NSEI
2024-09-11,24918.44921875,279200,NIFTY 50,^NSEI
2024-09-12,25388.900390625,380100,NIFTY 50,^NSEI
2024-09-13,25356.5,250800,NIFTY 50,^NSEI
2024-09-16,25383.75,168700,NIFTY 50,^NSEI
2024-09-17,25418.55078125,216000,NIFTY 50,^NSEI
2024-09-18,25377.55078125,215700,NIFTY 50,^NSEI
2024-09-19,25415.80078125,314500,NIFTY 50,^NSEI
2024-09-20,25790.94921875,533100,NIFTY 50,^NSEI
2024-09-23,25939.05078125,209200,NIFTY 50,^NSEI
2024-09-24,25940.400390625,384100,NIFTY 50,^NSEI
2024-09-25,26004.150390625,278500,NIFTY 50,^NSEI
2024-09-26,26216.05078125,370900,NIFTY 50,^NSEI
2024-09-27,26178.94921875,490300,NIFTY 50,^NSEI
2024-09-30,25810.849609375,343100,NIFTY 50,^NSEI
2024-10-01,25796.900390625,247400,NIFTY 50,^NSEI
2024-10-03,25250.099609375,423400,NIFTY 50,^NSEI
2024-10-04,25014.599609375,374900,NIFTY 50,^NSEI
2024-10-07,24795.75,374300,NIFTY 50,^NSEI
2024-10-08,25013.150390625,333200,NIFTY 50,^NSEI
2024-10-09,24981.94921875,290600,NIFTY 50,^NSEI
2024-10-10,24998.44921875,261400,NIFTY 50,^NSEI
2024-10-11,24964.25,210500,NIFTY 50,^NSEI
2024-10-14,25127.94921875,206400,NIFTY 50,^NSEI
2024-10-15,25057.349609375,257200,NIFTY 50,^NSEI
2024-10-16,24971.30078125,226800,NIFTY 50,^NSEI
2024-10-17,24749.849609375,252800,NIFTY 50,^NSEI
2024-10-18,24854.05078125,290900,NIFTY 50,^NSEI
2024-10-21,24781.099609375,242000,NIFTY 50,^NSEI
2024-10-22,24472.099609375,279500,NIFTY 50,^NSEI
2024-10-23,24435.5,284600,NIFTY 50,^NSEI
2024-10-24,24399.400390625,216700,NIFTY 50,^NSEI
2024-10-25,24180.80078125,372600,NIFTY 50,^NSEI
2024-10-28,24339.150390625,278600,NIFTY 50,^NSEI
2024-10-29,24466.849609375,332000,NIFTY 50,^NSEI
2024-10-30,24340.849609375,285200,NIFTY 50,^NSEI
2024-10-31,24205.349609375,287000,NIFTY 50,^NSEI
2024-11-01,24304.349609375,38800,NIFTY 50,^NSEI
2024-11-04,23995.349609375,285500,NIFTY 50,^NSEI
2024-11-05,24213.30078125,289500,NIFTY 50,^NSEI
2024-11-06,24484.05078125,351100,NIFTY 50,^NSEI
2024-11-07,24199.349609375,322200,NIFTY 50,^NSEI
2024-11-08,24148.19921875,298700,NIFTY 50,^NSEI
2024-11-11,24141.30078125,273400,NIFTY 50,^NSEI
2024-11-12,23883.44921875,255800,NIFTY 50,^NSEI
2024-11-13,23559.05078125,304600,NIFTY 50,^NSEI
2024-11-14,23532.69921875,257700,NIFTY 50,^NSEI
2024-11-18,23453.80078125,263300,NIFTY 50,^NSEI
2024-11-19,23518.5,297500,NIFTY 50,^NSEI
2024-11-21,23349.900390625,420300,NIFTY 50,^NSEI
2024-11-22,23907.25,367600,NIFTY 50,^NSEI
2024-11-25,24221.900390625,687200,NIFTY 50,^NSEI
2024-11-26,24194.5,230700,NIFTY 50,^NSEI
2024-11-27,24274.900390625,295000,NIFTY 50,^NSEI
2024-11-28,23914.150390625,366700,NIFTY 50,^NSEI
2024-11-29,24131.099609375,282100,NIFTY 50,^NSEI
2024-12-02,24276.05078125,220400,NIFTY 50,^NSEI
