instrument,window,days,A_equal_return_pct,B_original_return_pct,P_random_return_pct,C_phase1_recency_sigmoid_return_pct,B_minus_P_pct,C_minus_P_pct,B_beats_P,C_beats_P,B_sharpe,P_sharpe
BANK NIFTY,full,505,0.0462,0.0376,0.1872,-0.006,-0.1496,-0.1932,False,False,0.0062,0.0233
BANK NIFTY,first_half,252,0.052,0.0465,0.2201,0.05,-0.1736,-0.1701,False,False,0.0123,0.0501
BANK NIFTY,second_half,253,-0.0057,-0.0089,0.0209,-0.056,-0.0298,-0.0769,False,False,-0.0043,0.0062
BANK NIFTY,block_01,126,0.1669,0.1305,0.2279,0.142,-0.0974,-0.0859,False,False,0.062,0.1138
BANK NIFTY,block_02,126,-0.1149,-0.084,-0.0957,-0.092,0.0117,0.0037,True,True,-0.051,-0.0433
BANK NIFTY,block_03,126,-0.0433,-0.0275,-0.1228,-0.0174,0.0953,0.1054,True,True,-0.0348,-0.1099
BANK NIFTY,block_04,126,0.0321,0.0143,0.1417,-0.0431,-0.1274,-0.1848,False,False,0.0115,0.0564
HDFCBANK,full,509,-0.3074,-0.2025,-0.0021,-0.3063,-0.2004,-0.3042,False,False,-0.0212,-0.0002
HDFCBANK,first_half,254,-0.3327,-0.2098,-0.174,-0.2595,-0.0358,-0.0855,False,False,-0.036,-0.0287
HDFCBANK,second_half,255,0.0252,0.0073,-0.1986,-0.0468,0.2059,0.1518,True,True,0.0021,-0.0407
HDFCBANK,block_01,126,-0.2614,-0.1811,-0.0051,-0.2976,-0.176,-0.2925,False,False,-0.0536,-0.0017
HDFCBANK,block_02,126,-0.0887,-0.0377,-0.1385,0.0402,0.1008,0.1787,True,True,-0.0161,-0.0458
HDFCBANK,block_03,126,-0.0639,-0.0676,-0.1954,-0.102,0.1278,0.0934,True,True,-0.0453,-0.0968
HDFCBANK,block_04,126,0.1136,0.0852,-0.3893,0.0512,0.4745,0.4405,True,True,0.0448,-0.1321
ICICIBANK,full,509,0.006,-0.1222,0.4655,0.0905,-0.5877,-0.375,False,False,-0.0147,0.0428
ICICIBANK,first_half,254,-0.189,-0.2727,-0.1264,-0.1935,-0.1463,-0.0671,False,False,-0.0546,-0.0218
ICICIBANK,second_half,255,0.1951,0.1505,0.3605,0.284,-0.21,-0.0765,False,False,0.0487,0.0774
ICICIBANK,block_01,126,0.0488,-0.0673,0.3067,0.0154,-0.374,-0.2913,False,False,-0.0233,0.108
ICICIBANK,block_02,126,-0.2273,-0.19,-0.0996,-0.188,-0.0904,-0.0884,False,False,-0.0951,-0.0376
ICICIBANK,block_03,126,0.0797,0.0292,-0.0957,0.1028,0.1249,0.1985,True,True,0.0231,-0.058
ICICIBANK,block_04,126,0.1094,0.1102,-0.1798,0.1656,0.29,0.3454,True,True,0.0618,-0.0537
