date,A_equal_pnl,B_trust_pnl,P_random_pnl,A_equal_costed_pnl,B_trust_costed_pnl,P_random_costed_pnl
2025-01-23,-60.593015,-61.382954,-35.709533,-123.90298,-124.866439,-93.553551
2025-01-24,-190.653559,-191.169232,-210.020231,-310.383716,-310.990429,-325.024809
2025-01-27,184.440043,185.742615,225.544377,184.440043,85.738246,124.783223
2025-01-28,206.45978,206.576511,215.899323,-167.106124,-167.131211,-160.696508
2025-01-29,-3.098413,-2.635796,-37.650712,-310.659808,-360.18646,-393.720618
2025-01-30,-95.005913,-94.647648,-82.45879,-431.726726,-481.368151,-471.58142
2025-01-31,-56.980588,-56.99051,-37.26907,-430.673789,-430.735716,-410.370858
2025-02-01,64.151568,64.00707,98.106237,-249.807494,-249.953633,-216.359732
2025-02-03,33.999104,33.30299,-54.383352,-278.165704,-328.811922,-418.378898
2025-02-04,-8.386523,-8.343685,-14.375451,-319.422302,-369.371715,-382.02061
2025-02-05,-23.055198,-22.676956,-26.625267,-282.201731,-381.863362,-390.979331
2025-02-06,54.124213,53.175998,40.714833,-51.336691,-252.355352,-264.414485
2025-02-07,33.363521,33.173761,53.723784,-122.132553,-272.325357,-255.515679
2025-02-10,-144.364329,-145.693637,-160.150758,-510.818055,-512.17007,-531.417281
2025-02-11,-33.668919,-34.094496,-13.553728,-244.663567,-395.151505,-378.505013
2025-02-12,-42.393358,-42.540636,-47.272508,-305.210398,-405.407892,-413.787703
2025-02-13,30.310315,30.504718,44.158571,-178.849993,-328.723944,-319.291009
2025-02-14,-58.395808,-58.473265,-48.223892,-110.230148,-410.299911,-408.252302
2025-02-17,4.8236,4.862662,4.393115,-204.332381,-354.275775,-365.467285
2025-02-18,-104.15769,-104.277786,-60.823011,-476.103163,-476.177776,-427.355576
2025-02-19,46.720484,46.676854,37.5119,-114.248442,-264.32281,-273.93294
2025-02-20,-7.192414,-6.820456,5.724416,-321.984702,-371.672525,-360.891714
2025-02-21,-165.125637,-165.925636,-116.873217,-539.222072,-540.020357,-494.920312
2025-02-24,-70.991079,-71.216409,-66.850941,-339.287919,-439.523927,-440.469556
2025-02-25,-24.249184,-24.327402,-43.160035,-287.096081,-387.167578,-399.848048
2025-02-27,-395.721809,-396.644909,-357.641234,-653.130038,-754.044914,-716.91081
2025-02-28,-67.69888,-67.959743,-87.640947,-330.566499,-430.800856,-452.803664
2025-03-03,-4.368329,-4.499234,-10.647876,-208.302213,-358.443289,-364.938282
2025-03-04,120.356029,120.181706,79.322458,-190.839864,-240.975497,-283.004331
2025-03-05,162.197253,162.578121,162.628974,110.37236,-189.274439,-192.730387
2025-03-06,-37.047099,-36.554499,6.207226,-196.181685,-395.721116,-353.556593
2025-03-07,26.96423,26.808842,8.144054,-234.045827,-334.186896,-353.721252
2025-03-10,-53.939017,-53.695125,-16.810725,-313.286675,-413.104624,-377.719895
2025-03-11,-192.388959,-192.336524,-128.607144,-244.213851,-544.187095,-486.370311
2025-03-12,-35.625535,-35.675044,-25.62765,-189.360082,-389.403359,-384.778793
2025-03-13,75.821495,75.960302,75.054573,-179.877338,-279.71493,-285.2511
2025-03-17,91.795247,92.026794,93.128126,-169.169353,-268.887358,-271.237971
2025-03-18,-21.96879,-21.409152,68.845181,-236.569401,-385.97983,-303.594616
2025-03-19,36.894941,37.94933,33.673567,-118.565964,-317.547749,-330.049384
2025-03-20,-65.029802,-64.490854,-12.801797,-327.793573,-427.221945,-378.175551
2025-03-21,-5.52736,-4.113711,-41.304226,-214.705576,-313.310966,-353.813082
2025-03-24,86.172717,86.220848,101.174761,-282.179701,-282.080013,-267.381019
2025-03-25,-75.488119,-75.772122,-47.461916,-291.939345,-442.221395,-417.110168
2025-03-26,77.269043,77.535611,76.381158,-135.511002,-285.262797,-289.265409
2025-03-27,-135.719092,-135.501921,-125.160218,-289.392773,-489.175831,-481.84412
2025-03-28,-358.81928,-360.746161,-342.847524,-564.327302,-716.221403,-703.313947
2025-04-01,30.663774,31.561939,58.607416,-180.3171,-329.415917,-305.769067
2025-04-02,-286.375242,-286.368502,-286.443181,-499.190456,-649.158518,-649.0966
2025-04-03,-120.118041,-122.00153,-11.642304,-329.297243,-481.131644,-379.10592
2025-04-04,-416.810523,-419.231706,-496.384221,-574.150385,-776.510297,-863.859924
2025-04-07,214.238137,214.568132,191.767184,55.096604,-144.562256,-168.565893
2025-04-08,-88.109343,-87.577801,-91.631314,-352.839206,-452.26799,-457.841358
2025-04-09,139.291756,138.701387,168.836697,-175.456882,-226.12113,-195.758781
2025-04-11,4.041362,4.884039,28.523712,-206.922564,-356.084983,-336.757965
2025-04-15,-58.03044,-57.79011,-47.717757,-319.149046,-418.988503,-408.590347
2025-04-16,-55.020951,-54.164081,61.303636,-262.455588,-361.60866,-249.586466
2025-04-17,19.107403,20.100696,27.792453,-293.851506,-342.935157,-336.500374
2025-04-21,-75.767489,-74.840971,-60.726496,-338.671493,-437.851377,-422.865801
