                         List of relations
 Schema |                  Name                   | Type  |  Owner  
--------+-----------------------------------------+-------+---------
 public | action_attestations                     | table | agentco
 public | active_artifacts                        | table | agentco
 public | active_constitution                     | table | agentco
 public | active_trust_policies                   | table | agentco
 public | adaptive_strategies                     | table | agentco
 public | agent_membership_edges                  | table | agentco
 public | agent_memories                          | table | agentco
 public | agent_memory                            | table | agentco
 public | agent_state                             | table | agentco
 public | allowed_change_types                    | table | agentco
 public | appeals                                 | table | agentco
 public | artifacts                               | table | agentco
 public | authority_grants                        | table | agentco
 public | authority_revocations                   | table | agentco
 public | autonomy_actions                        | table | agentco
 public | autonomy_audit_events                   | table | agentco
 public | autonomy_calibration_events             | table | agentco
 public | autonomy_calibration_reports            | table | agentco
 public | autonomy_claim_validations              | table | agentco
 public | autonomy_claims                         | table | agentco
 public | autonomy_dead_letters                   | table | agentco
 public | autonomy_episodes                       | table | agentco
 public | autonomy_evidence                       | table | agentco
 public | autonomy_goal_actions                   | table | agentco
 public | autonomy_goals                          | table | agentco
 public | autonomy_interventions                  | table | agentco
 public | autonomy_loop_detection                 | table | agentco
 public | autonomy_memory                         | table | agentco
 public | autonomy_outcomes                       | table | agentco
 public | autonomy_plan_steps                     | table | agentco
 public | autonomy_plans                          | table | agentco
 public | autonomy_provider_calibration           | table | agentco
 public | autonomy_routed_claims                  | table | agentco
 public | autonomy_searches                       | table | agentco
 public | autonomy_self_mod_gates                 | table | agentco
 public | autonomy_source_discovery_runs          | table | agentco
 public | autonomy_source_trustworthiness         | table | agentco
 public | autonomy_task_events                    | table | agentco
 public | autonomy_tasks                          | table | agentco
 public | autonomy_team_activations               | table | agentco
 public | autonomy_workflow_checkpoints           | table | agentco
 public | backup_recovery_log                     | table | agentco
 public | baseline_metrics                        | table | agentco
 public | belief_questions                        | table | agentco
 public | belief_stakes                           | table | agentco
 public | beliefs                                 | table | agentco
 public | benchmark_eval_runs                     | table | agentco
 public | budget_allocations                      | table | agentco
 public | calibration_cells                       | table | agentco
 public | calibration_change_requests             | table | agentco
 public | calibration_constitution_versions       | table | agentco
 public | calibration_credentials                 | table | agentco
 public | calibration_curves_v2                   | table | agentco
 public | calibration_drift_events                | table | agentco
 public | canary_rollback_events                  | table | agentco
 public | causal_links                            | table | agentco
 public | change_approvals                        | table | agentco
 public | change_request_events                   | table | agentco
 public | change_to_policy_conversions            | table | agentco
 public | civilization_constitution_memory_events | table | agentco
 public | civilization_entities                   | table | agentco
 public | civilization_governance_reviews         | table | agentco
 public | civilization_learning_events            | table | agentco
 public | civilization_memberships                | table | agentco
 public | civilization_memory_events              | table | agentco
 public | civilization_society_edges              | table | agentco
 public | civilizations                           | table | agentco
 public | claims                                  | table | agentco
 public | coalition_collaboration_events          | table | agentco
 public | coalition_composition_recommendations   | table | agentco
 public | coalition_formations                    | table | agentco
 public | coalition_member_assignments            | table | agentco
 public | coalition_performance                   | table | agentco
 public | consistency_checks                      | table | agentco
 public | constitution_compliance_checks          | table | agentco
 public | constitution_verifications              | table | agentco
 public | constitution_versions                   | table | agentco
 public | constitutional_amendments               | table | agentco
 public | constitutions                           | table | agentco
 public | credential_domains                      | table | agentco
 public | cross_institutional_evidence_access     | table | agentco
 public | customer_data                           | table | agentco
 public | cutover_checklist                       | table | agentco
 public | deadlock_incidents                      | table | agentco
 public | decision_log                            | table | agentco
 public | delegated_authorities                   | table | agentco
 public | departments                             | table | agentco
 public | deployment_events                       | table | agentco
 public | deployment_snapshots                    | table | agentco
 public | disaster_recovery_snapshots             | table | agentco
 public | dispute_evidence                        | table | agentco
 public | disputes                                | table | agentco
 public | domain_transfer_estimates               | table | agentco
 public | drift_resolutions                       | table | agentco
 public | drift_thresholds                        | table | agentco
 public | economic_policies                       | table | agentco
 public | emergency_states                        | table | agentco
 public | entity_genealogy                        | table | agentco
 public | entity_hierarchy                        | table | agentco
 public | entity_reputation_audit_log             | table | agentco
 public | entity_reputation_baseline              | table | agentco
 public | eval_cases                              | table | agentco
 public | eval_failures                           | table | agentco
 public | eval_results                            | table | agentco
 public | eval_runs                               | table | agentco
 public | eval_scorecards                         | table | agentco
 public | eval_suites                             | table | agentco
 public | event_history                           | table | agentco
 public | evidence_artifacts                      | table | agentco
 public | evidence_deduplication_map              | table | agentco
 public | failure_recovery_incidents              | table | agentco
 public | goal_budgets                            | table | agentco
 public | goal_conflicts                          | table | agentco
 public | goal_dependency_graph                   | table | agentco
 public | goal_evidence                           | table | agentco
